更新时间,#genre#
CCTV-10,http://z.b.bkpcp.top/m.php?id=cctv10\$订阅源
CCTV-10,http://z.b.bkpcp.top/m.php?id=cctv10$订阅源
CCTV-10,http://58.19.43.46:9901/tsfile/live/1029_1.m3u8$订阅源
CCTV-11,http://221.233.192.152:1111/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-11,http://60.2.190.206:4000/rtp/239.253.93.153:6321$组播源
CCTV-11,http://119.98.133.74:4022/rtp/239.69.1.154:10560$组播源
CCTV-11,http://123.157.31.182:7912/rtp/233.50.201.11:5140$组播源
CCTV-11,http://z.b.bkpcp.top/m.php?id=cctv11$订阅源
CCTV-11,http://z.b.bkpcp.top/m.php?id=cctv11\$订阅源
CCTV-11,http://58.19.43.46:9901/tsfile/live/1030_1.m3u8$订阅源
CCTV-12,http://221.233.192.152:1111/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-12,http://221.219.79.161:4000/rtp/239.3.1.64:8124$组播源
CCTV-12,http://119.98.133.74:4022/rtp/239.69.1.106:10274$组播源
CCTV-12,http://123.157.31.182:7912/rtp/233.50.201.123:5140$组播源
CCTV-12,http://z.b.bkpcp.top/m.php?id=cctv12$订阅源
CCTV-12,http://z.b.bkpcp.top/m.php?id=cctv12\$订阅源
CCTV-12,http://58.19.43.46:9901/tsfile/live/1031_1.m3u8$订阅源
CCTV-13,http://221.233.192.152:1111/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-13,http://221.219.79.161:4000/rtp/239.3.1.124:8128$组播源
CCTV-13,http://119.98.133.74:4022/rtp/239.254.96.161:9040$组播源
CCTV-13,http://123.157.31.182:7912/rtp/233.50.201.246:5140$组播源
CCTV-13,http://z.b.bkpcp.top/m.php?id=cctv13\$订阅源
CCTV-13,http://z.b.bkpcp.top/m.php?id=cctv13$订阅源
CCTV-13,http://58.19.43.46:9901/tsfile/live/1032_1.m3u8$订阅源
CCTV-14,http://221.233.192.152:1111/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-14,http://221.222.162.206:8888/rtp/239.3.1.65:8132$组播源
CCTV-14,http://119.98.133.74:4022/rtp/239.69.1.107:10280$组播源
CCTV-14,http://123.157.31.182:7912/rtp/233.50.201.124:5140$组播源
CCTV-14,http://z.b.bkpcp.top/m.php?id=cctv14$订阅源
CCTV-14,http://z.b.bkpcp.top/m.php?id=cctv14\$订阅源
CCTV-14,http://58.19.43.46:9901/tsfile/live/1033_1.m3u8$订阅源
CCTV-15,http://221.233.192.152:1111/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-15,http://221.219.79.161:4000/rtp/239.3.1.153:8136$组播源
CCTV-15,http://119.98.133.74:4022/rtp/239.69.1.155:10566$组播源
CCTV-15,http://123.157.31.182:7912/rtp/233.50.201.15:5140$组播源
CCTV-15,http://z.b.bkpcp.top/m.php?id=cctv15\$订阅源
CCTV-15,http://z.b.bkpcp.top/m.php?id=cctv15$订阅源
CCTV-15,http://58.19.43.46:9901/tsfile/live/1034_1.m3u8$订阅源
CCTV-16,http://222.129.139.91:8888/rtp/239.3.1.184:8001$组播源
CCTV-16,http://221.219.79.161:4000/rtp/239.3.1.184:8001$组播源
CCTV-16,http://119.98.133.74:4022/rtp/239.69.1.247:11124$组播源
CCTV-16,http://223.166.234.114:7777/tsfile/live/1038_1.m3u8$订阅源
CCTV-16,http://223.167.75.197:10030/ysptp/cctv16.m3u8$订阅源
CCTV-16,http://223.167.75.197:10030/itv/1000000006000233002.m3u8?cdn=ystenlive$订阅源
CCTV-17,http://221.219.79.161:4000/rtp/239.3.1.151:8144$组播源
CCTV-17,http://119.98.133.74:4022/rtp/239.69.1.152:10548$组播源
CCTV-17,http://123.157.31.182:7912/rtp/233.50.201.35:5140$组播源
CCTV-17,http://z.b.bkpcp.top/m.php?id=cctv17\$订阅源
CCTV-17,http://z.b.bkpcp.top/m.php?id=cctv17$订阅源
CCTV-17,http://58.19.43.46:9901/tsfile/live/1047_1.m3u8$订阅源
CETV1,http://119.98.133.74:4022/rtp/239.69.1.110:10298$组播源
CETV1,http://114.83.223.132:9999/rtp/239.45.1.125:5140$组播源
CETV1,http://114.243.110.0:4000/rtp/239.3.1.57:8152$组播源
CETV1,http://223.167.75.197:10030/itv/5000000002000002652.m3u8?cdn=bestzb$订阅源
CETV2,http://119.98.133.74:4022/rtp/239.69.1.183:10734$组播源
CETV2,http://114.83.223.132:9999/rtp/239.45.1.52:5140$组播源
CETV4,http://114.83.223.132:9999/rtp/239.45.1.243:5140$组播源
CETV4,http://114.83.223.132:9999/rtp/239.45.0.21:5140$组播源
CETV4,http://223.167.75.197:10030/itv/5000000011000031126.m3u8?cdn=bestzb$订阅源

💰央视付费频道,#genre#
文化精品,http://114.83.223.132:9999/rtp/239.45.0.53:5140$组播源
文化精品,http://114.83.223.132:9999/rtp/239.45.1.17:5140$组播源
央视台球,http://119.98.133.74:4022/rtp/239.69.1.98:10224$组播源
